,0,predicted
0,1,1
1,1,1
2,1,1
3,0,1
4,0,1
5,1,1
6,1,1
7,1,1
8,1,1
9,0,1
10,1,1
11,1,1
12,0,1
13,1,1
14,0,1
15,0,1
16,0,1
17,0,1
18,1,1
19,1,1
20,1,1
21,0,1
22,0,1
23,1,1
24,0,1
25,1,1
26,0,1
27,1,1
28,0,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,0,1
39,1,1
40,1,1
41,0,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,0,1
48,0,1
49,1,1
50,1,1
51,1,1
52,0,1
53,0,1
54,0,1
55,0,1
56,1,1
57,1,1
58,1,1
59,1,1
60,0,1
61,1,1
62,1,1
63,0,1
64,1,1
65,1,1
66,0,1
67,1,1
68,1,1
69,1,1
70,0,1
71,0,1
72,0,1
73,1,1
74,1,1
75,1,1
76,0,1
77,1,1
78,0,1
79,1,1
80,1,1
81,0,1
82,1,1
83,0,1
84,0,1
85,1,1
86,1,1
87,1,1
88,1,1
89,1,1
90,1,1
91,0,1
92,0,1
93,1,1
94,0,1
95,1,1
96,1,1
97,1,1
98,0,1
99,0,1
100,1,1
101,1,1
102,1,1
103,0,1
104,0,1
105,0,1
106,1,1
107,1,1
108,1,1
109,0,1
110,0,1
111,1,1
112,1,1
113,0,1
114,0,1
115,1,1
116,1,1
117,1,1
118,1,1
119,0,1
120,0,1
121,0,1
122,1,1
123,1,1
124,1,1
125,0,1
126,1,1
127,1,1
128,0,1
129,1,1
130,1,1
131,0,1
132,0,1
133,0,1
134,1,1
135,0,1
136,1,1
137,0,1
138,1,1
139,0,1
140,0,1
141,1,1
142,1,1
143,0,1
144,1,1
145,1,1
146,1,1
147,0,1
148,0,1
149,1,1
150,1,1
151,0,1
152,1,1
153,0,1
154,1,1
155,1,1
156,1,1
157,1,1
158,1,1
159,0,1
160,1,1
